Case,Type,Delay_CCCP,Delay_ES,Time_CCCP(s),Time_ES(s)
1,g1>g2,0.58250738,0.582733866,1.050360203,2891.327824
2,g1>g2,0.555778898,0.555818099,0.873695374,2714.865229
3,g1>g2,0.586381164,0.586746936,0.813963652,2565.094478
4,g1>g2,0.540088746,0.540342042,0.786623478,2804.793383
5,g1>g2,0.515120367,0.515333885,0.334836006,2731.363096
6,g1>g2,0.565182167,0.565437951,0.467444897,2720.904601
7,g1>g2,0.540169465,0.54027046,0.692969084,2444.032694
8,g1>g2,0.558798622,0.559794963,0.446679354,2501.334668
9,g1>g2,0.569639596,0.569737974,0.969630718,2635.813812
10,g1>g2,0.557031699,0.561031699,0.835849524,2794.146875
