Case,Type,Delay_CCCP,Delay_ES,Time_CCCP(s),Time_ES(s)
1,g1>g2,0.58250738,0.582548727,1.01099515,3867.220515
2,g1>g2,0.555778898,0.55581593,0.874564171,3666.561814
3,g1>g2,0.586381164,0.58651358,1.747095346,3242.80518
4,g1>g2,0.540088746,0.540339694,0.725397587,3428.307855
5,g1>g2,0.515120367,0.515319406,1.301195383,3738.304653
6,g2>g1,0.532725171,0.532726965,0.858743668,3771.728314
7,g2>g1,0.569876321,0.569876766,0.698739529,3697.152383
8,g2>g1,0.558928062,0.558901712,0.64148283,3446.129445
9,g2>g1,0.547157936,0.547161543,0.758326292,3271.521448
10,g2>g1,0.56682074,0.56682145,0.581391573,3434.023031
