episode,reward
0,-1.741971629876685
1,-1.7061413066579163
2,-1.7518900023458814
3,-1.9438725697597814
4,-1.761684440650562
5,-2.1667560212244643
6,-1.4217194772934336
7,-2.106535482779962
8,-1.725642236967633
9,-1.8421241460672826
10,-1.819363925795016
11,-2.056132780240123
12,-2.0253191664398447
13,-2.0066544017977233
14,-1.773328775913345
15,-2.0434577495884163
16,-2.0801323202146778
17,-1.8795483762491958
18,-1.9901042002133666
19,-2.0913227629013487
20,-1.9867612447116398
21,-1.86998556017222
22,-2.0410353880702776
23,-2.4764077470674124
24,-1.7608489484388394
25,-2.1367541777759684
26,-1.7955537085941327
27,-2.2687285332661675
28,-1.7165549635133601
29,-1.9916522244215649
30,-1.7911817838123634
31,-2.022241695994794
32,-2.0771294941689487
33,-1.9247185493467032
34,-1.671954546938007
35,-1.4931998643361823
36,-1.7069690302526603
37,-1.7151314451018493
38,-2.1206256514219644
39,-2.0910855214730835
40,-1.8010856382402658
41,-1.9261874700384072
42,-2.0773487223324523
43,-2.4220219197570843
44,-2.228546805896367
45,-1.8375960169495504
46,-2.0228681836252895
47,-1.435564187018816
48,-1.7964015869069474
49,-1.7694864125241574
50,-1.6780836733063262
51,-1.7902041173864924
52,-2.1508403344609
53,-1.798183618381788
54,-1.7541880739509028
55,-1.843761940285632
56,-1.8251790055659753
57,-1.7141879272307434
58,-1.436568602368114
59,-1.6684137107688173
60,-1.7111217271639478
61,-1.8538880371770643
62,-2.0083152094265064
63,-1.3451605982362307
64,-1.6938761123868196
65,-1.5986083886524687
66,-1.6106766410600122
67,-1.9157621425632223
68,-1.6485258640616223
69,-1.6588680346933753
70,-1.4981914366799314
71,-2.1885439516700247
72,-1.849255847556176
73,-2.0943429212157265
74,-1.7767460593804087
75,-1.5663053868460783
76,-1.6524394381989778
77,-1.9030321325408206
78,-1.3096352717146695
79,-1.5200737155256983
80,-1.599271346163442
81,-1.5988443546337183
82,-1.7451682027249416
83,-1.7535075545573466
84,-1.8585629036942521
85,-1.9426096725963171
86,-1.396919808919988
87,-1.7110045055655774
88,-1.7427001241743663
89,-1.7577207236778596
90,-1.4169349666616413
91,-1.671481826102233
92,-1.8053372883054724
93,-1.8797215630536344
94,-2.0089496435456127
95,-1.9572735656682492
96,-2.049975397633493
97,-1.7736034054719676
98,-1.6253356187999604
99,-1.595840659406032
100,-1.9405368799181688
101,-2.1885553760581247
102,-1.7119417546822577
103,-1.658649914685071
104,-1.5632588347706946
105,-1.7338205650086562
106,-1.9858761120479986
107,-2.082097333975509
108,-1.820078505932518
109,-2.1386956150607173
110,-1.887561576448771
111,-2.1122851878981104
112,-1.6090589183525075
113,-1.7062660861840095
114,-1.7567419231239496
115,-1.4931994129837656
116,-1.494268529341836
117,-1.6166682372652263
118,-2.0859678135421023
119,-1.9099661474238752
120,-1.6031731498220452
121,-1.8406362232527704
122,-1.455986792651437
123,-1.5262889056774356
124,-2.051289951310343
125,-1.4832585096376718
126,-1.625606354095195
127,-1.6894935564647637
128,-1.288239131469182
129,-1.953295460546808
130,-2.1847776257718157
131,-1.6797805140381765
132,-1.594314919043606
133,-1.4984929365015305
134,-2.113631394417628
135,-1.6718783762962373
136,-1.81793833290554
137,-1.875271299967978
138,-1.708932825571474
139,-1.5910631619234892
140,-1.5479734146971944
141,-1.714425679982158
142,-1.6904558908057539
143,-1.3362765968979764
144,-1.9041094222538684
145,-1.696904585530718
146,-1.7955524236768674
147,-1.4233000294248037
148,-1.3826256103944263
149,-1.6605690285307828
150,-1.9286462801718178
151,-1.6644282714067031
152,-1.4998238015000078
153,-1.7454402800027038
154,-1.6832388293935852
155,-1.7992251052072057
156,-1.2573170860845402
157,-1.4482835080491085
158,-1.1109317232738085
159,-1.562673381016617
160,-1.5516662846014164
161,-1.9873834495234473
162,-1.5225237589906755
163,-1.5350501665311111
164,-1.5380930109135713
165,-1.7508244200114509
166,-1.4635095880248676
167,-1.309247678557075
168,-1.52286786858965
169,-1.621165281633056
170,-1.6566700970268462
171,-1.6862208236856637
172,-2.118787805915631
173,-1.232542289703896
174,-2.114053666631952
175,-1.4289982102252596
176,-1.4335510060591423
177,-1.736077403051068
178,-1.6248745617447475
179,-1.640871234100721
180,-1.4922842402619896
181,-1.3668194074650701
182,-1.3247335859431464
183,-1.6397262953619884
184,-1.4690945854220414
185,-1.2660978122458575
186,-1.702528981001612
187,-1.6303968766342172
188,-1.8421615068500352
189,-1.4559064703125102
190,-1.5960614107731033
191,-1.6916137861191711
192,-1.448536152771778
193,-1.2685609805657458
194,-1.6484382432827667
195,-1.4269222513364639
196,-1.4079358871401664
197,-1.398779719303427
198,-1.3036877560610358
199,-1.3008846714566533
200,-1.4452283100315197
201,-1.709646864659427
202,-1.2821765415016033
203,-1.1895797076254113
204,-1.7162606109579464
205,-1.6410932715526751
206,-1.7421431588629235
207,-1.5988489400384245
208,-1.1092431637017324
209,-1.363436091226368
210,-1.2355246281255574
211,-1.826215314134727
212,-1.3036477110100162
213,-1.5797674880271697
214,-1.5156086920960115
215,-1.2112872717022116
216,-1.1517835132608403
217,-1.0564785373421295
218,-1.1076070974918704
219,-1.3747284200176113
220,-1.1020091625754178
221,-1.0471398561540997
222,-1.346599965523944
223,-1.3186948560658462
224,-0.912069584187528
225,-0.9071147809860913
226,-0.9714667594241954
227,-1.026628088563151
228,-1.2270961725234397
229,-1.1641492395070494
230,-1.1812366808695938
231,-1.4813481580651688
232,-1.5866352192747146
233,-1.512720575728537
234,-1.0795457909713178
235,-1.1889264879968002
236,-0.9320738274143149
237,-1.0372122659282808
238,-0.8850759010112097
239,-1.2180525336778927
240,-1.3764900946018526
241,-1.3714415111647174
242,-1.0755332141685683
243,-1.0969159099369061
244,-0.7429266143637469
245,-1.2686883279855241
246,-1.0641183570222612
247,-1.0289015716423588
248,-1.2951803508977184
249,-1.1168378091345808
250,-1.2757043075525936
251,-1.3409712936344167
252,-1.5091822544514508
253,-1.0189799490756628
254,-1.0848208578652636
255,-1.4856430913883825
256,-1.3039040824206194
257,-0.9841285648483502
258,-1.2888121512253272
259,-1.0647860050250302
260,-1.0640277306493646
261,-1.437562405260456
262,-0.8710444360853361
263,-1.3260161116430447
264,-1.3271074708549748
265,-0.7213955651720666
266,-1.188004429694719
267,-0.8421521139876036
268,-1.104114282224337
269,-1.2428608686720433
270,-1.1488507485861394
271,-1.0698443277068819
272,-0.9699951061659883
273,-1.0295932424921084
274,-1.0747747481914047
275,-1.1116914379077867
276,-1.1038982133582946
277,-1.207454120223982
278,-1.1475241800783846
279,-1.1855773174372948
280,-1.1688028478066397
281,-1.4588947262614709
282,-1.137173360977637
283,-1.012402536836161
284,-1.3014366095307013
285,-1.2219562356390496
286,-0.7000345627314737
287,-1.1848388635041223
288,-0.9466298586390646
289,-1.2924715263674866
290,-1.2211244015594511
291,-1.0168354115208522
292,-1.1895964023495373
293,-1.0492107330203988
294,-0.9429838321997225
295,-0.9637994411088342
296,-0.8383962373345494
297,-1.224841324194605
298,-1.4053119322219745
299,-0.9364563442707728
300,-1.4369521551132762
301,-1.2201317211154183
302,-0.983825394852827
303,-1.0274023153271985
304,-1.1269504364097165
305,-1.304610552371354
306,-0.6987795549373551
307,-1.300563915978047
308,-1.1834078432407293
309,-1.1075490110723782
310,-1.4212846592255999
311,-0.7771207154395308
312,-0.9384945333866189
313,-0.898164941290482
314,-1.0680811688659873
