episode,reward
0,-1.8389578222239529
1,-1.5297928963974132
2,-1.7393378500695347
3,-2.198572001828362
4,-1.644162961541669
5,-1.4676273660490227
6,-1.8308785012891828
7,-1.9067588044670745
8,-1.7498168056303545
9,-1.696842552127656
10,-2.0460634043747556
11,-1.7960047006413147
12,-1.4475384322522669
13,-1.7391000625169972
14,-1.7198666717950737
15,-1.7510483633150578
16,-1.629570837151938
17,-1.4057996782648068
18,-2.1177643851808443
19,-2.0541655288790808
20,-1.7030143155676614
21,-1.9831368286916589
22,-2.0559435410715525
23,-1.6814314352572026
24,-1.7344413366106326
25,-1.8682721340932225
26,-2.0006764509797907
27,-1.5819319304943318
28,-2.0443959897756305
29,-1.8469816894477473
30,-1.8826967244490305
31,-2.0375127748087256
32,-1.8536637902826059
33,-1.7507286454161786
34,-1.606928594755078
35,-2.1762831765178294
36,-2.1055414604642873
37,-1.8014230742264699
38,-1.494816459065031
39,-2.164483859804729
40,-2.564075109537772
41,-3.7989704569694993
42,-2.1778813520682134
43,-1.7429957197698787
44,-1.989568219977302
45,-2.0
46,-1.125785527715135
47,-1.921526197866461
48,-2.029996835801238
49,-2.1351773314699534
50,-2.0664450570969275
51,-1.3799379665459854
52,-0.6978744993860146
53,-1.135238489828019
54,-0.39687549306458003
55,-0.541044840292178
56,0.6861256357326383
57,0.6529473858087249
58,0.12166085419034157
59,-1.242977691893328
60,-1.8984909664083949
61,-1.7708700427384971
62,-2.004448110021427
63,-1.0009845209023451
64,0.45555277751320516
65,0.14449216312112761
66,-0.6001946628528564
67,-0.651060637843824
68,-0.7179978810677583
69,-0.04416099248178723
70,-0.14236979648619016
71,-0.590973376606239
72,-1.5424136441102059
73,-0.25616387428658965
74,1.3556349121492377
75,1.2351494169544814
76,0.589102970157778
77,0.8323158129756468
78,0.3809976241785384
79,0.6707090990691341
80,0.7663038637916777
81,0.7441363058628742
82,0.8696801001046383
83,0.7139209647275574
84,1.095447399883974
85,0.9759293314314692
86,1.0111832801102525
87,0.7033092645997998
88,1.1307337149508128
89,1.2157522995606025
90,1.8025648100039333
91,1.7896199421961032
92,1.7506607001660215
93,1.690774690083492
94,1.7766307519659523
95,1.7715199802734412
96,1.6890689657219469
97,1.732140464924479
98,1.6725320620637885
99,1.664345136455165
100,1.6819121616407637
101,1.6345722111779388
102,1.5766931442200993
103,1.6612371407187578
104,1.704224769649591
